time, pressure
0,1.4368674192
0.02,1.4368674192
0.04,1.4368674192
0.06,1.4368674192
0.08,1.4368674192
0.1,1.4368674192
0.12,1.4368674192
0.14,1.4368674192
0.16,1.4368674192
0.18,1.4368674192
0.2,1.4368674192
0.22,1.4368674192
0.24,1.4368674192
0.26,1.4368674192
0.28,1.4368674192
0.3,1.4368674192
0.32,1.4368674192
0.34,1.4368674192
0.36,1.4368674192
0.38,1.4368674192
0.4,1.4368674192
0.42,1.4368674192
0.44,1.4368674192
0.46,1.4368674192
0.48,1.4368674192
0.5,1.4368674192
0.52,1.4368674192
0.54,1.4368674192
0.56,1.4368674192
0.58,1.4368674192
0.6,1.4368674192
0.62,1.4368674192
0.64,1.4368674192
0.66,1.4368674192
0.68,1.4368674192
0.7,1.4368674192
0.72,1.4368674192
0.74,1.4368674192
0.76,1.4368674192
0.78,1.4368674192
0.8,1.4368674192
0.82,1.4368674192
0.84,1.4368674192
0.86,1.4368674192
0.88,1.4368674192
0.9,1.4368674192
0.92,1.4368674192
0.94,1.4368674192
0.96,1.4368674192
0.98,1.4368674192
1,1.4368674192
1.02,1.4368674192
1.04,1.4368674192
1.06,1.4368674192
1.08,1.4368674192
1.1,1.4368674192
1.12,1.4368674192
1.14,1.4368674192
1.16,1.4368674192
1.18,1.4368674192
1.2,1.4368674192
1.22,1.4368674192
1.24,1.4368674192
1.26,1.4368674192
1.28,1.4368674192
1.3,1.4368674192
1.32,1.4368674192
1.34,1.4368674192
1.36,1.4368674192
1.38,1.4368674192
1.4,1.4368674192
1.42,1.4368674192
1.44,1.4368674192
1.46,1.4368674192
1.48,1.4368674192
1.5,1.4368674192
1.52,1.4368674192
1.54,1.4368674192
1.56,1.4368674192
1.58,1.4368674192
1.6,1.4368674192
1.62,1.4368674192
1.64,1.4368674192
1.66,1.4368674192
1.68,1.4368674192
1.7,1.4368674192
1.72,1.4368674192
1.74,1.4368674192
1.76,1.4368674192
1.78,1.4368674192
1.8,1.4368674192
1.82,1.4368674192
1.84,1.4368674192
1.86,1.4368674192
1.88,1.4368674192
1.9,1.4368674192
1.92,1.4368674192
1.94,1.4368674192
1.96,1.4368674192
1.98,1.4368674192
2,1.4368674192
2.02,1.4368674192
2.04,1.4368674192
2.06,1.4368674192
2.08,1.4368674192
2.1,1.4368674192
2.12,1.4368674192
2.14,1.4368674192
2.16,1.4368674192
2.18,1.4368674192
2.2,1.4368674192
2.22,1.4306621377
2.24,1.4306621377
2.26,1.4306621377
2.28,1.4306621377
2.3,1.4306621377
2.32,1.4306621377
